Date,Soda (g),Saccharin (tabl),Kohlenstaub/Coal dust (kg),Kohlen/Coal (kg),Koksgrus (kg)
1940-03-13,,,,25,
1940-05-19,,,,,
1940-06-02,30,,,5,
1940-06-12,,,,,
1940-06-20,100,,,5,
1940-06-28,,,,5,
1940-07-14,100,,,,
1940-07-27,100,,,10,
1940-08-04,,,,,
1940-08-11,100,,,,
1940-08-20,,,,,
1940-08-20,100,,,,
1940-08-26,,,,,
1940-09-11,,,,5,
1940-09-28,,,,5,
1940-10-11,,,,5,
1940-10-19,,,,,
1940-10-30,,,15,,
1940-11-04,,,,,
1940-11-14,,,,,
1940-11-14,,,,,
1940-11-20,250,,10,,
1940-12-04,,,,,
1940-12-06,,,,,
1940-12-24,,,,,
1940-12-24,250,,,,
1941-01-04,,,,,
1941-01-04,250,,,,
1941-01-04,,,,,
1941-01-14,,,,,
1941-01-14,250,,,,
1941-01-14,,,,,
1941-01-16,,,,,
1941-01-17,,,4,,
1941-01-21,,,,,
1941-01-22,,,,,
1941-01-22,400,,,,
1941-01-22,,,,,
1941-01-22,,,,,
1941-01-22,,,,,
1941-01-28,,,,,
1941-01-28,,,6,,
1941-01-31,,,,,
1941-02-03,,,,,
1941-02-03,,,,,
1941-02-04,,,,,
1941-02-04,100,,,,
1941-02-04,,,,,
1941-02-05,,,,,
1941-02-13,,,,,
1941-02-13,,,,0.7,
1941-02-20,,,,,
1941-02-20,,50,,,
1941-02-20,,,,,
1941-02-28,,,,,
1941-02-28,,,,,
1941-02-28,,,,,
1941-02-28,,,,,
1941-02-28,,,,,20
1941-02-28,,,,,
1941-03-06,,,,,
1941-03-06,,,,,
1941-03-06,,,,,
1941-03-12,,,,,
1941-03-12,,,,,
1941-03-12,,,,,
1941-03-23,,,,,
1941-03-23,,,,,
1941-03-23,,,,,
1941-03-24,,,,,
1941-03-24,,,,,
1941-03-24,,,,,
1941-03-25,,,,,
1941-03-25,,,,,
1941-03-27,,,,,
1941-03-27,,,,,
1941-03-27,,,,,
1941-04-03,,,,,
1941-04-17,,,,,
1941-04-17,,,,,
1941-04-25,,,,,
1941-04-25,,,,,
1941-04-25,,,,,
1941-04-29,,,,,
1941-04-29,200,,,,
1941-04-29,,,,,
1941-05-11,,,,,
1941-05-22,,,,,
1941-05-22,,,,,
1941-05-22,200,50,,,
1941-05-22,,,,,
1941-05-22,,,,,
1941-05-22,,,,,
1941-05-22,,,,,
1941-05-31,,,,,
1941-05-31,,,,,
1941-06-04,,,,,
1941-06-13,,,,,
1941-06-16,,,,,
1941-06-16,,,,,
1941-06-24,200,,,,
1941-06-24,,,,,
1941-06-26,,,,,
1941-06-26,,,,,
1941-07-03,100,25,,,
1941-07-03,,,,,
1941-07-03,,,,,
1941-07-03,,,,,
1941-07-05,,,,,
1941-07-05,,,,,
1941-07-12,,,,,
1941-07-12,,,,,
1941-07-12,,,,,
1941-07-21,,100,,,
1941-08-04,,,,,
1941-08-04,,,,,
1941-08-04,,,,,
1941-08-16,,100,,,
1941-08-16,,,,,
1941-08-16,,,,,
1941-08-16,,,,,
1941-08-26,,,,,
1941-08-28,,50,,,
1941-08-28,,,,,
1941-08-28,,,,,
1941-09-13,,50,,,
1941-09-13,,,,,
1941-09-16,,,,,
1941-09-27,,,,,
1941-09-27,,,,,
1941-10-02,,,,,
1941-10-06,,,,,
1941-10-06,,,,,
1941-10-19,,,,,
1941-10-19,,,,,
1941-10-20,,,,,
1941-10-20,,,,,
1941-10-22,,,,,
1941-10-26,,,,,
1941-10-26,,,,,
1941-11-03,,,,,
1941-11-03,,,,,
1941-11-03,,,,,
1941-11-03,,,,,
1941-11-07,,,,,
1941-11-10,,,,,
1941-11-10,,,,,
1941-11-18,,,,,
1941-11-18,,,,,
1941-11-22,,,,,
1941-11-25,200,,,,
1941-11-25,,,,,
1941-11-25,,,,10,
1941-11-25,,,,,
1941-11-26,,,,,
1941-11-26,,,,,
1941-08-07,,,,,
1941-08-07,,,,,
1941-08-07,,,,8,
1941-12-06,,,,,
1941-12-06,,,,,
1941-12-27,,,,12,
1941-12-27,,,,,
1941-12-11,,,,,
1941-12-11,,,,,
1941-12-18,,,,,
1941-12-18,,,,,
1942-01-02,,,,,
1942-01-02,,,,,
1942-01-02,,,,,
1942-01-02,,,,,
1942-01-11,,,,,
1942-01-11,,,,,
1942-02-11,,,,,
1942-02-11,,,,,
1942-01-26,,,,,
1942-01-26,,,,,
1942-02-11,,,,,
1942-01-20,,,,,
1942-01-20,,,,,
1942-01-20,,,,,
1942-01-23,,,,,
1942-01-30,,,,10,
1942-01-30,,,,,
1942-02-04,,,,,
1942-02-04,,,,,
1942-02-04,,,,,
1942-02-14,,,,,
1942-02-14,,,,,
1942-02-24,15,,,,
1942-02-24,,,,,
1942-02-24,10,,,,
1942-03-08,,,,10,
1942-03-08,,,,,
1942-03-26,,,,10,
1942-03-26,,,,,
1942-04-16,,,,,
1942-04-16,,,,,
1942-04-16,,,,,
1942-03-17,,,,,
1942-04-14,,,,,
1942-04-14,,,,,
1942-04-12,,,,,
1942-09-24,,,,,
1942-04-03,,,,,
1942-04-03,,,,,
1942-04-03,,,,,
1942-04-03,,,,,
1942-04-03,,,,,
1942-04-17,,,,,
1942-06-15,,,,,
1942-07-26,,,,,
1942-07-26,,,,,
1942-07-26,,,,,
1942-11-18,,,,,
1942-11-09,,,,,
1942-11-09,,,,,
1942-10-18,,,,,
1942-10-18,,,,,
1942-10-18,,,,,
1942-10-18,,,,,
1942-12-17,,,,,
1942-12-17,,,,,
1942-12-17,,,,,
1942-12-17,,,,,
1942-09-30,,,,,
1942-10-15,,,,,
1942-11-05,,,,,
1942-11-05,,,,,
1942-12-14,,,,10,
1942-02-26,,,,15,
1943-03-28,,,,10,
1943-05-26,,,,,
1943-05-27,,,,,
1943-06-02,,,,,
1943-06-13,,,,,
1943-06-13,,,,,
1943-06-13,,,,,
1943-06-16,,,,,
1943-05-20,,,,,
1943-05-20,,,,,
1943-05-20,,,,,
1943-06-09,,,,,
1943-06-24,,,,,
1943-06-24,,,,,
1943-05-26,,,,,
1943-05-26,,,,,
1943-05-26,,,,,
1943-05-26,,,,,
1943-05-26,,,,,
1943-06-27,,,,,
1944-01-05,,,,4,
1944-03-04,,,,2,
1944-04-27,,,,8,
1944-06-22,,,,8,
1944-07-20,,,,,
1944-07-20,,,,,
1944-06-27,,,,,
1944-07-26,,,,,
1944-07-26,,,,,
1944-07-18,,,,,
1944-07-18,,,,,
1944-07-01,,,,,
1944-07-01,,,,,
1944-07-01,,,,,
1944-07-18,,,,10,
